dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,8.454389,9.256149,21.131695,14.018674,-0.028612,-740.099608,2.374706
0.020000,8.269964,9.458002,21.405113,13.670898,-17.388790,-868.008903,2.248128
0.020000,8.118678,9.670341,21.665834,13.036028,-31.743485,-717.734729,2.132723
0.020000,7.998957,9.883953,21.910707,12.243693,-39.616769,-393.664210,2.031976
0.020000,7.906303,10.092697,22.139090,11.419147,-41.227293,-80.526196,1.946590
0.020000,7.835415,10.293389,22.351934,10.642189,-38.847894,118.969930,1.875503
0.020000,7.781438,10.484869,22.550877,9.947148,-34.752032,204.793121,1.816896
0.020000,7.740399,10.667096,22.737668,9.339546,-30.380140,218.594604,1.768830
0.020000,7.709212,10.840542,22.913895,8.811342,-26.410180,198.497979,1.729545
0.020000,7.685521,11.005854,23.080896,8.350037,-23.065270,167.245525,1.697561
0.020000,7.667535,11.163693,23.239757,7.943051,-20.349271,135.799941,1.671676
0.020000,7.653882,11.314665,23.391345,7.579422,-18.181473,108.389879,1.650930
0.020000,7.644004,11.472830,23.549818,7.923647,17.211247,1769.636005,1.614607
0.020000,7.640171,11.638341,23.715373,8.277753,17.705299,24.702603,1.572620
0.020000,7.643699,11.805410,23.882479,8.355309,3.877795,-691.375198,1.526018
0.020000,7.655570,11.974111,24.051597,8.455895,5.029297,57.575095,1.474291
0.020000,7.676915,12.144322,24.223142,8.577225,6.066504,51.860349,1.416978
0.020000,7.708978,12.315631,24.397425,8.714170,6.847256,39.037629,1.353735
0.020000,7.753022,12.487192,24.574550,8.856262,7.104612,12.867755,1.284446
0.020000,7.810166,12.657619,24.754302,8.987600,6.566904,-26.885387,1.209348
0.020000,7.881139,12.824918,24.936033,9.086521,4.946066,-81.041892,1.129158
0.020000,7.965996,12.986568,25.118601,9.128434,2.095628,-142.521920,1.045138
0.020000,8.063884,13.139777,25.300412,9.090533,-1.895043,-199.533540,0.959055
0.020000,8.172988,13.281898,25.479583,8.958535,-6.599896,-235.242655,0.872991
0.020000,8.290711,13.410875,25.654207,8.731216,-11.365971,-238.303718,0.789056
0.020000,8.414062,13.525546,25.822627,8.420974,-15.512072,-207.305093,0.709087
0.020000,8.540096,13.625721,25.983622,8.049756,-18.560925,-152.442639,0.634430
0.020000,8.666257,13.712021,26.136476,7.642703,-20.352620,-89.584744,0.565879
0.020000,8.790556,13.785615,26.280928,7.222606,-21.004853,-32.611632,0.503721
0.020000,8.911587,13.847944,26.417065,6.806847,-20.787949,10.845168,0.447859
0.020000,9.028445,13.900505,26.545200,6.406741,-20.005331,39.130937,0.397945
0.020000,9.140614,13.944724,26.665770,6.028522,-18.910953,54.718889,0.353495
0.020000,9.247851,13.981881,26.779262,5.674599,-17.696117,60.741809,0.313970
0.020000,9.350094,14.013086,26.886161,5.344929,-16.483527,60.629499,0.278835
0.020000,9.447392,14.039288,26.986925,5.038221,-15.335373,57.407684,0.247580
0.020000,9.539859,14.061284,27.081972,4.752369,-14.292596,52.138874,0.219746
0.020000,9.627642,14.079739,27.171674,4.485102,-13.363346,46.462487,0.194920
0.020000,9.710900,14.095210,27.256358,4.234155,-12.547364,40.799076,0.172743
0.020000,9.789792,14.108163,27.336306,3.997402,-11.837666,35.484931,0.152899
0.020000,9.864472,14.118987,27.411766,3.773010,-11.219600,30.903290,0.135116
0.020000,9.935083,14.128008,27.482951,3.559266,-10.687174,26.621293,0.119158
